"video","Baton","Pepper Spray","Uniformed","Chemical Smoke","Gun","Riot Shield","Non Uniformed","spray","running","crowd","brawling","person_on_ground","throwing","arresting","striking","violent_actions","detections_by_second"
"P1000324.mp4","","","","","3","","50","40","","16","","","","","","0","[object Object]"
"P1000322.mp4","","","","","3","","39","29","","4","","","","","","0","[object Object]"
"P1000323.mp4","","","","","","","34","24","","","","","","","","0","[object Object]"
"P1000341.mp4","","","","","","","20","8","","","","","","","","0","[object Object]"
"P1000342.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"P1000395.mp4","","","8","","","","34","","","","","13","","","","0","[object Object]"
"P1000396.mp4","4","","","","14","7","150","14","","100","","84","","","","0","[object Object]"
"P1000397.mp4","4","","","","","","47","8","","","","4","","","","0","[object Object]"
"P1000351.mp4","5","","","","","","55","19","","4","","","8","","","0","[object Object]"
"P1000353.mp4","","","","","","","20","4","","37","","","","","","0","[object Object]"
"P1000352.mp4","1","1","2","","4","","139","101","","22","","7","4","","","0","[object Object]"
"P1000355.mp4","","","4","","","","","","4","4","","","","","","0","[object Object]"
"P1000354.mp4","","","1","","","","9","9","","","","","","","","0","[object Object]"
"P1000360.mp4","","1","4","","1","","15","","","","","","","","","0","[object Object]"
"P1000356.mp4","","","","","","","","","","16","","","","","","0","[object Object]"
"P1000357.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"P1000358.mp4","","","","","","","277","","","","","","","","","0","[object Object]"
"P1000359.mp4","","","","","","","422","","","","","","","","","0","[object Object]"
"P1000361.mp4","","","","","","","436","","","","12","8","","","","12","[object Object]"
"P1000362.mp4","","","","","","","493","4","","7","","7","","","","0","[object Object]"
"P1000363.mp4","10","4","48","","61","","59","4","","31","","81","","","","0","[object Object]"
"P1000364.mp4","15","","20","","6","","42","","","","","20","","","","0","[object Object]"
"P1000378.mp4","","","56","","","","14","","","23","","8","","","","0","[object Object]"
"P1000366.mp4","","","2","","7","","169","","","6","8","4","","","","8","[object Object]"
"P1000375.mp4","","","","","","","36","26","","","","","","","","0","[object Object]"
"P1000365.mp4","","","","","","","46","","","","","12","","","","0","[object Object]"
"P1000376.mp4","","","","","2","","","8","","","","","","","","0","[object Object]"
"P1000379.mp4","","","331","","","","245","5","","28","","","","","","0","[object Object]"
"P1000380.mp4","","","","","","","8","","","","","1","","","","0","[object Object]"
"P1000377.mp4","","","6","","","","","","","1","","","","","","0","[object Object]"
"P1000367.mp4","2","","1","","","","83","","","","","35","","","","0","[object Object]"
"P1000371.mp4","2","6","","","3","","36","","","11","","11","","","","0","[object Object]"
"P1000381.mp4","","","","","","","274","98","","","","","","","","0","[object Object]"
"P1000368.mp4","","","","2","","","186","","","","4","4","","","","4","[object Object]"
"P1000408.mp4","1","","5","","4","","79","","","4","","16","","","","0","[object Object]"
"P1000369.mp4","","","","","","","3","","","","","","","","","0","[object Object]"
"P1000370.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"P1000382.mp4","","3","7","","5","","157","46","","4","","8","","","","0","[object Object]"
"P1000383.mp4","","","5","","","","8","","","","","3","","","","0","[object Object]"
"P1000384.mp4","50","58","293","","9","9","1678","455","","176","","59","12","","","0","[object Object]"
"P1000386.mp4","","","","","","","48","34","","","","","","","","0","[object Object]"
"P1000385.mp4","","1","5","","","","66","34","","15","","4","","","","0","[object Object]"
"P1000390.mp4","","4","","","10","","121","","","","","39","","","","0","[object Object]"
"P1000392.mp4","","11","","","","","18","","","1","","","","","","0","[object Object]"
"P1000389.mp4","","","","","20","","238","","","","","73","","","","0","[object Object]"
"P1000388.mp4","","","3","","","","75","6","","","","","","","","0","[object Object]"
"P1000387.mp4","","","","3","1","","44","2","","","","","","","","0","[object Object]"
"P1000391.mp4","","37","","","","","109","","","29","","33","","","","0","[object Object]"
"P1000404.mp4","26","","","","24","","146","45","","88","","26","","","","0","[object Object]"
"P1000401.mp4","38","","","2","59","","263","27","","141","","86","","","","0","[object Object]"
"P1000398.mp4","1","","11","","14","","243","160","","45","","60","","","","0","[object Object]"
"P1000418.mp4","","","","","","","35","25","","4","","","","","","0","[object Object]"
"P1000419.mp4","13","","","","37","","88","","","","","35","","","","0","[object Object]"
"P1000399.mp4","2","","14","","2","","58","20","","27","","23","","","","0","[object Object]"
"P1000402.mp4","3","3","","","","","139","73","","22","","24","","","","0","[object Object]"
"P1000400.mp4","","","","","","","6","1","","","","","","","","0","[object Object]"
"P1000403.mp4","3","","","","1","","79","28","","5","","23","","","","0","[object Object]"
